,compare,frequency,seed,human_seed,updates,utility,position
34,position,5,4444,100,199,0.0100999999999999,2.997471667
35,position,10,4444,100,99,0.0231,6.282486096000003
36,position,20,4444,100,49,0.0395000000000002,12.40106836600002
37,position,25,4444,100,39,0.0464000000000003,15.540436851999994
38,position,30,4444,100,33,0.0473000000000003,17.210366233999995
39,position,35,4444,100,28,0.0544000000000003,20.34238533400002
40,position,40,4444,100,24,0.0555000000000003,23.04125098800002
41,position,45,4444,100,22,0.0611000000000003,26.326996936000025
42,position,50,4444,100,19,0.0636000000000003,28.545593622999963
43,position,55,4444,100,18,0.0548000000000003,28.18995982700001
44,position,60,4444,100,16,0.0684000000000004,32.14889134000003
45,position,65,4444,100,15,0.0764,34.73378486400004
46,position,70,4444,100,14,0.0723000000000002,33.47741394100001
47,position,75,4444,100,13,0.0832999999999998,37.01683285899997
48,position,80,4444,100,12,0.0823999999999999,37.41913751800001
49,position,90,4444,100,11,0.0929999999999996,37.81548141800004
50,position,100,4444,100,9,0.0751000000000001,40.47496151700007
51,position,5,5555,100,199,0.0123999999999999,3.4797340420000005
52,position,10,5555,100,99,0.0277,7.338200528000008
53,position,20,5555,100,49,0.0392000000000001,14.55681889099999
54,position,25,5555,100,39,0.0546000000000002,17.745760340999986
55,position,30,5555,100,33,0.0465000000000002,20.39020599299997
56,position,35,5555,100,28,0.0724000000000002,24.48207801
57,position,40,5555,100,24,0.0735000000000003,28.17819911300007
58,position,45,5555,100,22,0.0639000000000004,30.826701552999964
59,position,50,5555,100,19,0.0744,33.40693220599999
60,position,55,5555,100,18,0.0768,34.04144235900001
61,position,60,5555,100,16,0.0750000000000002,37.60636205499998
62,position,65,5555,100,15,0.0910999999999996,42.512772168000026
63,position,70,5555,100,14,0.0878999999999999,39.38762066900004
64,position,75,5555,100,13,0.0954999999999995,46.64528639299994
65,position,80,5555,100,12,0.0981999999999997,44.68222907700002
66,position,90,5555,100,11,0.1032999999999994,46.43061622400005
67,position,100,5555,100,9,0.0860999999999999,50.24494220899995
68,position,5,6666,100,199,0.0110999999999999,3.387110513000005
69,position,10,6666,100,99,0.0242,7.027926760000004
70,position,20,6666,100,49,0.0387000000000002,14.145563967999978
71,position,25,6666,100,39,0.0554000000000002,17.786918779000025
72,position,30,6666,100,33,0.0432000000000002,19.135252615000017
73,position,35,6666,100,28,0.0641000000000004,22.35856031800003
74,position,40,6666,100,24,0.0736000000000002,27.36224483300003
75,position,45,6666,100,22,0.0697000000000003,29.844080851999987
76,position,50,6666,100,19,0.0738000000000002,32.120666458
77,position,55,6666,100,18,0.0759000000000002,33.04116159999999
78,position,60,6666,100,16,0.0668000000000004,34.906720694000064
79,position,65,6666,100,15,0.0828000000000001,40.54424066399996
80,position,70,6666,100,14,0.0921999999999997,34.63826399599998
81,position,75,6666,100,13,0.1018999999999993,42.285524104999965
82,position,80,6666,100,12,0.0988999999999997,42.45819439700003
83,position,90,6666,100,11,0.0883999999999998,44.3140429929999
84,position,100,6666,100,9,0.082,47.63146955599997
85,position,5,7777,100,199,0.0086999999999999,3.0920072539999937
86,position,10,7777,100,99,0.0203,6.518294456000001
87,position,20,7777,100,49,0.0339000000000001,12.514665325000005
88,position,30,7777,100,33,0.0377000000000002,17.818344878999984
89,position,40,7777,100,24,0.0636000000000003,23.97101652500001
90,position,50,7777,100,19,0.0683000000000002,28.623200390999983
91,position,60,7777,100,16,0.0637000000000004,32.642947616999976
92,position,100,7777,100,9,0.0900000000000001,44.96069804600005
93,position,5,8888,100,199,0.0073999999999999,2.052985343999999
94,position,10,8888,100,99,0.0179999999999999,4.099511159000001
95,position,20,8888,100,49,0.0330000000000001,8.224271648000016
96,position,30,8888,100,33,0.0380000000000001,12.077740139999992
97,position,40,8888,100,24,0.0538000000000003,17.071469574999988
98,position,50,8888,100,19,0.0609000000000003,21.752953733999988
99,position,60,8888,100,16,0.0626000000000004,25.388618436000023
100,position,100,8888,100,9,0.0918999999999998,36.66205691499998
101,position,5,9999,100,199,0.0106999999999999,2.8843094160000016
102,position,10,9999,100,99,0.0233,5.876797978000003
103,position,20,9999,100,49,0.0360000000000001,12.32443969400001
104,position,30,9999,100,33,0.0433000000000002,17.408610327999995
105,position,40,9999,100,24,0.0614000000000003,24.22879907700001
106,position,50,9999,100,19,0.0708000000000002,28.14042338800002
107,position,60,9999,100,16,0.0654000000000003,33.17073419099998
108,position,100,9999,100,9,0.0839,43.56847384899997
109,position,5,12345,100,199,0.0099999999999999,3.2570885630000026
110,position,10,12345,100,99,0.0242,6.6534753680000005
111,position,20,12345,100,49,0.0408000000000002,13.458686285000017
112,position,30,12345,100,33,0.0508000000000003,18.132690780999976
113,position,40,12345,100,24,0.0784000000000001,25.64505300299999
114,position,50,12345,100,19,0.0753,29.14576452799999
115,position,60,12345,100,16,0.0683000000000004,34.19263428099997
116,position,100,12345,100,9,0.0968999999999999,43.89276859000002
117,position,5,67890,100,199,0.0110999999999999,3.289326219999999
118,position,10,67890,100,99,0.0232,6.761575909000006
119,position,20,67890,100,49,0.0383000000000001,13.323155342999993
120,position,30,67890,100,33,0.0417000000000002,18.73008805399999
121,position,40,67890,100,24,0.0664000000000004,25.03016406500002
122,position,50,67890,100,19,0.0662000000000004,31.14922010800001
123,position,60,67890,100,16,0.0698000000000003,36.11936877899999
124,position,100,67890,100,9,0.0889,44.17786857799995
125,s_s,5,1111,100,199,0.0112999999999999,3.9737183290000018
