,compare,frequency,seed,human_seed,updates,utility,position
94,s_s_keep,30,5555,100,33,0.0514166040000002,10.607113030999995
95,s_s_keep,40,5555,100,24,0.0645832640000002,17.722159920000024
96,s_s_keep,60,5555,100,16,0.0730832680000002,21.941541192999992
97,s_s_keep,100,5555,100,9,0.0963332670000001,30.947347931999992
98,s_s_keep,5,6666,100,199,0.0116666369999999,2.504615765999997
99,s_s_keep,10,6666,100,99,0.0239166169999999,5.124310431000004
100,s_s_keep,20,6666,100,49,0.0449999440000001,10.78070596900002
101,s_s_keep,30,6666,100,33,0.0541666000000003,11.472432724
102,s_s_keep,40,6666,100,24,0.0661665930000003,18.82919386
103,s_s_keep,60,6666,100,16,0.0719999290000002,23.221208105
104,s_s_keep,100,6666,100,9,0.118999946,34.80370121299997
