,update_mode,utility,seed,human_seed,init_time,update_time,duration
79,xxx,0.29999998,67890,60,220,270,100
80,xxx,0.16166669999999997,1111,60,225,275,100
81,xxx,0.25999996,2222,60,225,275,100
82,xxx,0.25666664,4444,60,225,275,100
83,xxx,0.28833331999999995,5555,60,225,275,100
84,xxx,0.2816667,6666,60,225,275,100
85,xxx,0.29166664000000003,7777,60,225,275,100
86,xxx,0.26666670000000003,8888,60,225,275,100
87,xxx,0.27666662,9999,60,225,275,100
88,xxx,0.28666664000000003,12345,60,225,275,100
89,xxx,0.29333336,67890,60,225,275,100
90,xxx,0.09166671999999997,1111,60,270,320,100
91,xxx,0.08833333999999997,2222,60,270,320,100
92,xxx,0.10333339999999998,4444,60,270,320,100
93,xxx,0.10833337999999998,5555,60,270,320,100
94,xxx,0.08833331999999999,6666,60,270,320,100
95,xxx,0.07666662000000002,7777,60,270,320,100
96,xxx,0.13333336,8888,60,270,320,100
97,xxx,0.08666658000000002,9999,60,270,320,100
98,xxx,0.1216667,12345,60,270,320,100
99,xxx,0.11166668000000002,67890,60,270,320,100
100,xxx,0.09499997999999994,1111,60,284,334,100
101,xxx,0.08666668,2222,60,284,334,100
102,xxx,0.11500001999999995,4444,60,284,334,100
103,xxx,0.08999997999999998,5555,60,284,334,100
104,xxx,0.11000001999999996,6666,60,284,334,100
105,xxx,0.08999997999999998,7777,60,284,334,100
106,xxx,0.08666658,8888,60,284,334,100
107,xxx,0.10333339999999999,9999,60,284,334,100
108,xxx,0.10333337999999996,12345,60,284,334,100
109,xxx,0.09000001999999999,67890,60,284,334,100
110,xxx,0.09499997999999994,1111,60,284,334,100
111,xxx,0.08666668,2222,60,284,334,100
112,xxx,0.11500001999999995,4444,60,284,334,100
113,xxx,0.08999997999999998,5555,60,284,334,100
114,xxx,0.11000001999999996,6666,60,284,334,100
115,xxx,0.08999997999999998,7777,60,284,334,100
116,xxx,0.08666658,8888,60,284,334,100
117,xxx,0.10333339999999999,9999,60,284,334,100
118,xxx,0.10333337999999996,12345,60,284,334,100
119,xxx,0.09000001999999999,67890,60,284,334,100
120,xxx,0.14333328,1111,60,344,394,100
121,xxx,0.16666660000000003,2222,60,344,394,100
122,xxx,0.07499994000000003,4444,60,344,394,100
123,xxx,0.053333260000000014,5555,60,344,394,100
124,xxx,0.1349999,6666,60,344,394,100
125,xxx,0.08833319999999999,7777,60,344,394,100
