,update_mode,utility,seed,human_seed,init_time,update_time,duration,utility_max,utility_scaled
97,keep_knowledge,0.0619999999999999,9999,100,99,149,100,0.138,0.44927536231883985
98,keep_knowledge,0.0689999999999999,12345,100,99,149,100,0.0679999999999999,1.0147058823529411
99,keep_knowledge,0.053,67890,100,99,149,100,0.0799999999999999,0.6625000000000008
100,clear_knowledge,0.0619999999999999,1111,100,99,149,100,0.118,0.5254237288135585
101,clear_knowledge,0.039,2222,100,99,149,100,0.1209999999999999,0.3223140495867771
102,clear_knowledge,0.0579999999999999,4444,100,99,149,100,0.123,0.47154471544715365
103,clear_knowledge,0.039,5555,100,99,149,100,0.0749999999999999,0.5200000000000007
104,clear_knowledge,0.0539999999999999,6666,100,99,149,100,0.1099999999999999,0.49090909090909046
105,clear_knowledge,0.067,7777,100,99,149,100,0.0649999999999999,1.0307692307692324
106,clear_knowledge,0.052,8888,100,99,149,100,0.0839999999999999,0.6190476190476198
107,clear_knowledge,0.0629999999999999,9999,100,99,149,100,0.138,0.45652173913043403
108,clear_knowledge,0.0669999999999999,12345,100,99,149,100,0.0679999999999999,0.985294117647059
109,clear_knowledge,0.036,67890,100,99,149,100,0.0799999999999999,0.4500000000000005
110,xxx,0.0599999999999999,1111,100,99,149,100,0.118,0.5084745762711856
111,xxx,0.039,2222,100,99,149,100,0.1209999999999999,0.3223140495867771
112,xxx,0.059,4444,100,99,149,100,0.123,0.4796747967479675
113,xxx,0.0609999999999999,5555,100,99,149,100,0.0749999999999999,0.8133333333333331
114,xxx,0.08,6666,100,99,149,100,0.1099999999999999,0.727272727272728
115,xxx,0.036,7777,100,99,149,100,0.0649999999999999,0.5538461538461547
116,xxx,0.049,8888,100,99,149,100,0.0839999999999999,0.583333333333334
117,xxx,0.0709999999999999,9999,100,99,149,100,0.138,0.5144927536231876
118,xxx,0.0689999999999999,12345,100,99,149,100,0.0679999999999999,1.0147058823529411
119,xxx,0.053,67890,100,99,149,100,0.0799999999999999,0.6625000000000008
120,keep_knowledge,0.049,1111,100,104,154,100,0.1209999999999999,0.4049586776859508
121,keep_knowledge,0.039,2222,100,104,154,100,0.0939999999999999,0.41489361702127703
122,keep_knowledge,0.0499999999999999,4444,100,104,154,100,0.108,0.462962962962962
123,keep_knowledge,0.05,5555,100,104,154,100,0.106,0.47169811320754723
124,keep_knowledge,0.0509999999999999,6666,100,104,154,100,0.102,0.49999999999999906
125,keep_knowledge,0.037,7777,100,104,154,100,0.126,0.2936507936507936
126,keep_knowledge,0.041,8888,100,104,154,100,0.102,0.4019607843137255
127,keep_knowledge,0.041,9999,100,104,154,100,0.095,0.43157894736842106
128,keep_knowledge,0.059,12345,100,104,154,100,0.088,0.6704545454545454
129,keep_knowledge,0.051,67890,100,104,154,100,0.0969999999999999,0.5257731958762891
130,clear_knowledge,0.039,1111,100,104,154,100,0.1209999999999999,0.3223140495867771
131,clear_knowledge,0.039,2222,100,104,154,100,0.0939999999999999,0.41489361702127703
132,clear_knowledge,0.032,4444,100,104,154,100,0.108,0.2962962962962963
133,clear_knowledge,0.07,5555,100,104,154,100,0.106,0.6603773584905661
134,clear_knowledge,0.0579999999999999,6666,100,104,154,100,0.102,0.5686274509803912
135,clear_knowledge,0.046,7777,100,104,154,100,0.126,0.36507936507936506
136,clear_knowledge,0.042,8888,100,104,154,100,0.102,0.411764705882353
137,clear_knowledge,0.064,9999,100,104,154,100,0.095,0.6736842105263158
138,clear_knowledge,0.0849999999999999,12345,100,104,154,100,0.088,0.9659090909090897
139,clear_knowledge,0.065,67890,100,104,154,100,0.0969999999999999,0.6701030927835059
140,xxx,0.049,1111,100,104,154,100,0.1209999999999999,0.4049586776859508
141,xxx,0.039,2222,100,104,154,100,0.0939999999999999,0.41489361702127703
142,xxx,0.0499999999999999,4444,100,104,154,100,0.108,0.462962962962962
143,xxx,0.05,5555,100,104,154,100,0.106,0.47169811320754723
144,xxx,0.0509999999999999,6666,100,104,154,100,0.102,0.49999999999999906
145,xxx,0.037,7777,100,104,154,100,0.126,0.2936507936507936
146,xxx,0.041,8888,100,104,154,100,0.102,0.4019607843137255
147,xxx,0.043,9999,100,104,154,100,0.095,0.4526315789473684
148,xxx,0.059,12345,100,104,154,100,0.088,0.6704545454545454
149,xxx,0.051,67890,100,104,154,100,0.0969999999999999,0.5257731958762891
150,keep_knowledge,0.1069999999999999,1111,100,159,209,100,0.078,1.3717948717948705
151,keep_knowledge,0.0589999999999999,2222,100,159,209,100,0.0559999999999999,1.0535714285714288
152,keep_knowledge,0.0729999999999999,4444,100,159,209,100,0.068,1.0735294117647043
153,keep_knowledge,0.0629999999999999,5555,100,159,209,100,0.088,0.7159090909090898
154,keep_knowledge,0.0879999999999999,6666,100,159,209,100,0.079,1.11392405063291
155,keep_knowledge,0.076,7777,100,159,209,100,0.093,0.8172043010752688
156,keep_knowledge,0.043,8888,100,159,209,100,0.0739999999999999,0.5810810810810818
