,compare,threshold,seed,human_seed,updates,utility
197,action_direct_v2,0.86,6666.0,100,0,0.1139
198,action_direct_v2,0.92,6666.0,100,0,0.1139
199,action_direct_v2,0.99,6666.0,100,0,0.1139
200,action_direct_v2,0.06,,100,179,0.017
201,action_direct_v2,0.12,,100,73,0.0278999999999999
202,action_direct_v2,0.19,,100,45,0.0458999999999999
203,action_direct_v2,0.26,,100,31,0.0598999999999999
204,action_direct_v2,0.32,,100,18,0.0674
205,action_direct_v2,0.39,,100,15,0.0751
206,action_direct_v2,0.46,,100,10,0.1053
207,action_direct_v2,0.52,,100,5,0.1087
208,action_direct_v2,0.59,,100,3,0.117
209,action_direct_v2,0.66,,100,3,0.1158
210,action_direct_v2,0.72,,100,1,0.1146
211,action_direct_v2,0.79,,100,1,0.1146
212,action_direct_v2,0.86,,100,0,0.1184
213,action_direct_v2,0.92,,100,0,0.1184
214,action_direct_v2,0.99,,100,0,0.1184
215,interaction,0.1,1111.0,100,319,0.0
216,interaction,0.2,1111.0,100,319,0.0
217,interaction,0.3,1111.0,100,319,0.0
218,interaction,0.4,1111.0,100,319,0.0
219,interaction,0.5,1111.0,100,319,0.0
220,interaction,0.6,1111.0,100,319,0.0
221,interaction,0.7,1111.0,100,319,0.0
222,interaction,0.8,1111.0,100,319,0.0
223,interaction,0.9,1111.0,100,319,0.0
224,interaction,1.0,1111.0,100,315,0.0006
225,interaction,1.2,1111.0,100,300,0.0031
226,interaction,1.4,1111.0,100,298,0.0035
227,interaction,1.6,1111.0,100,288,0.0036
228,interaction,1.8,1111.0,100,274,0.0046
229,interaction,2.0,1111.0,100,267,0.0054
230,interaction,2.2,1111.0,100,258,0.0054
231,interaction,2.4,1111.0,100,244,0.0057
232,interaction,2.6,1111.0,100,235,0.0065
233,interaction,2.8,1111.0,100,227,0.0069
234,interaction,3.0,1111.0,100,219,0.0071
235,interaction,3.2,1111.0,100,208,0.0079
236,interaction,3.4,1111.0,100,203,0.0076
237,interaction,3.6,1111.0,100,198,0.0084
238,interaction,3.8,1111.0,100,194,0.0087
239,interaction,4.0,1111.0,100,187,0.0089
240,interaction,4.2,1111.0,100,186,0.0095
241,interaction,4.4,1111.0,100,184,0.0099
242,interaction,4.6,1111.0,100,174,0.0104
243,interaction,4.8,1111.0,100,167,0.0107
244,interaction,5.0,1111.0,100,166,0.0116999999999999
245,interaction,5.5,1111.0,100,156,0.0126
246,interaction,6.0,1111.0,100,149,0.0124
247,interaction,6.5,1111.0,100,144,0.0141
248,interaction,7.0,1111.0,100,134,0.0144
249,interaction,7.5,1111.0,100,132,0.0145
250,interaction,8.0,1111.0,100,127,0.0155
251,interaction,8.5,1111.0,100,119,0.0166
252,interaction,9.0,1111.0,100,112,0.0174
253,interaction,9.5,1111.0,100,113,0.0186
254,interaction,10.0,1111.0,100,107,0.0192
255,interaction,10.5,1111.0,100,106,0.0196
256,interaction,11.0,1111.0,100,105,0.0206
257,interaction,11.5,1111.0,100,103,0.0218
258,interaction,12.0,1111.0,100,99,0.0225
259,interaction,12.5,1111.0,100,95,0.0235
260,interaction,13.0,1111.0,100,94,0.025
261,interaction,13.5,1111.0,100,92,0.025
262,interaction,14.0,1111.0,100,91,0.0258
263,interaction,14.5,1111.0,100,87,0.0262999999999999
264,interaction,15.0,1111.0,100,85,0.0271
265,interaction,20.0,1111.0,100,70,0.0326
266,interaction,25.0,1111.0,100,59,0.0349
267,interaction,30.0,1111.0,100,58,0.037
268,interaction,35.0,1111.0,100,52,0.04
269,interaction,40.0,1111.0,100,46,0.0439
270,interaction,45.0,1111.0,100,43,0.0524
271,interaction,50.0,1111.0,100,39,0.0499
272,interaction,60.0,1111.0,100,31,0.0561000000000003
273,interaction,70.0,1111.0,100,26,0.0659000000000003
274,interaction,80.0,1111.0,100,26,0.0607000000000004
275,interaction,90.0,1111.0,100,21,0.0751
276,interaction,100.0,1111.0,100,16,0.077
277,interaction,110.0,1111.0,100,15,0.0798
278,interaction,120.0,1111.0,100,14,0.0962999999999996
279,interaction,0.1,2222.0,100,320,0.0
280,interaction,0.2,2222.0,100,320,0.0
281,interaction,0.3,2222.0,100,320,0.0
282,interaction,0.4,2222.0,100,320,0.0
283,interaction,0.5,2222.0,100,320,0.0
284,interaction,0.6,2222.0,100,320,0.0
285,interaction,0.7,2222.0,100,320,0.0
286,interaction,0.8,2222.0,100,320,0.0
287,interaction,0.9,2222.0,100,320,0.0
288,interaction,1.0,2222.0,100,319,0.0001
289,interaction,1.2,2222.0,100,300,0.0035999999999999
290,interaction,1.4,2222.0,100,298,0.0042
291,interaction,1.6,2222.0,100,285,0.0040999999999999
292,interaction,1.8,2222.0,100,275,0.0051
293,interaction,2.0,2222.0,100,268,0.0057
294,interaction,2.2,2222.0,100,258,0.0059
295,interaction,2.4,2222.0,100,251,0.0064
296,interaction,2.6,2222.0,100,239,0.0071
297,interaction,2.8,2222.0,100,230,0.0077
298,interaction,3.0,2222.0,100,222,0.0072
299,interaction,3.2,2222.0,100,207,0.0087
300,interaction,3.4,2222.0,100,198,0.0086
301,interaction,3.6,2222.0,100,194,0.0096
302,interaction,3.8,2222.0,100,186,0.0105
303,interaction,4.0,2222.0,100,183,0.01
304,interaction,4.2,2222.0,100,177,0.0105
305,interaction,4.4,2222.0,100,175,0.0103
306,interaction,4.6,2222.0,100,168,0.0107
307,interaction,4.8,2222.0,100,167,0.0108
308,interaction,5.0,2222.0,100,162,0.0116999999999999
309,interaction,5.5,2222.0,100,155,0.0114
310,interaction,6.0,2222.0,100,145,0.0119
311,interaction,6.5,2222.0,100,137,0.0141999999999999
312,interaction,7.0,2222.0,100,131,0.0158
313,interaction,7.5,2222.0,100,127,0.0179
314,interaction,8.0,2222.0,100,121,0.0182
315,interaction,8.5,2222.0,100,117,0.018
316,interaction,9.0,2222.0,100,114,0.018
317,interaction,9.5,2222.0,100,111,0.0183
318,interaction,10.0,2222.0,100,107,0.0187
319,interaction,10.5,2222.0,100,100,0.0209
320,interaction,11.0,2222.0,100,98,0.0213
321,interaction,11.5,2222.0,100,95,0.0214
322,interaction,12.0,2222.0,100,95,0.0223
323,interaction,12.5,2222.0,100,93,0.0236
324,interaction,13.0,2222.0,100,90,0.0219
325,interaction,13.5,2222.0,100,88,0.0222
326,interaction,14.0,2222.0,100,80,0.0234
327,interaction,14.5,2222.0,100,79,0.0235
328,interaction,15.0,2222.0,100,80,0.0231
329,interaction,20.0,2222.0,100,66,0.0322999999999999
330,interaction,25.0,2222.0,100,61,0.035
331,interaction,30.0,2222.0,100,56,0.0337
332,interaction,35.0,2222.0,100,50,0.0387
333,interaction,40.0,2222.0,100,48,0.04
334,interaction,45.0,2222.0,100,41,0.0455
335,interaction,50.0,2222.0,100,37,0.0469
336,interaction,60.0,2222.0,100,33,0.0502000000000003
337,interaction,70.0,2222.0,100,27,0.0572000000000003
338,interaction,80.0,2222.0,100,23,0.0620000000000004
339,interaction,90.0,2222.0,100,20,0.0654000000000003
340,interaction,100.0,2222.0,100,18,0.0677000000000002
341,interaction,110.0,2222.0,100,15,0.0806999999999997
342,interaction,120.0,2222.0,100,13,0.0942999999999997
343,interaction,60.0,4444.0,100,31,0.0498000000000003
344,interaction,70.0,4444.0,100,24,0.0640000000000004
345,interaction,80.0,4444.0,100,23,0.0634000000000004
346,interaction,90.0,4444.0,100,22,0.0605000000000004
347,interaction,100.0,4444.0,100,18,0.0727000000000001
348,interaction,110.0,4444.0,100,13,0.0794999999999999
